IMO Number,Vessel,Year,Month,ACT_AE_CONS,EXP_AE_CONS,AE_Dev_Prcnt,Per24h_Act_AE_Cons,Per24h_Exp_AE_Cons,Avg_ME_Act_SFOC,Avg_ME_Exp_SFOC,ACT_ME_CONS,EXP_ME_CONS,ME_SFOC_Dev_Prcnt,ACT_BLR_CONS,EXP_BLR_CONS,BLR_Dev_Prcnt,Reported CLO Cons.,Expected CLO Cons.,ME kWh,Actual_SCOC,Exp_SCOC,SCOC_Dev_Prcnt,ACT_ME_CONS_Laden,EXP_ME_CONS_Laden,Distance_Laden,ME_Rhr_Laden,Avg_Draught_Laden,Avg_BF_Laden,Avg_Speed_Laden,Per24h_Act_ME_Cons_Laden,ACT_ME_CONS_Ballast,EXP_ME_CONS_Ballast,Distance_Ballast,ME_Rhr_Ballast,Avg_Draught_Ballast,Avg_BF_Ballast,Avg_Speed_Ballast,Per24h_Act_ME_Cons_Ballast,Laden Expected Cons. @ Reported Draft - Reported Speed (@ 0% SFOC%),Ballast Expected Cons. @ Reported Draft - Reported Speed (@ 0% SFOC%),Laden Cons Diff. from Exp. Cons. @0% SFOC%,Laden Cons. Dev. due to M.E (mt),Laden Cons. Dev. due to Hull (mt),Ballast Cons Diff. from Exp. Cons. @0% SFOC%,Ballast Cons. Dev. due to M.E (mt),Ballast Cons. Dev. due to Hull (mt)
9385192,PINNACLE SPIRIT,2023,2,92,103.3,-10.94,3.29,3.69,200.28,181.35,582.5,527.45,10.44,13.8,17.96,-23.16,0,0,4336937.03,0,0,,376.6,339.93,2438.8,192,15,3,12.7,47.08,205.9,187.52,2398,239,7.5,3,10.03,20.67,31.49,14.17,15.59,12.31,3.28,6.5,5.02,1.48
9385192,PINNACLE SPIRIT,2023,3,106.46,123.35,-13.69,3.43,3.98,189.62,174.75,126.5,116.58,8.51,268.5,139.14,92.97,0,0,2037422.07,0,0,,126.5,116.58,897,72,13.9,4,12.46,42.17,0,0,0,0,,4,,,30.87,,11.3,8.08,3.22,,,
9385192,PINNACLE SPIRIT,2023,4,92.29,86.21,7.05,3.07,2.87,191.19,174.64,405.2,370.13,9.48,130.71,210.22,-37.82,0,0,2119395.28,0,0,,405.2,370.13,2831,227.08,12.53,4,12.47,42.83,0,0,0,0,,4,,,30.54,,12.29,9.11,3.18,,,
9385192,PINNACLE SPIRIT,2023,5,76.55,73.1,4.72,2.47,2.36,197.46,175.94,164.3,146.39,12.23,52.76,64.35,-18.01,0,0,913194,0,0,,123.2,110.03,771,62,15.65,4,12.44,47.69,41.1,36.36,392,36,7.5,4,10.89,27.4,36.6,18.55,11.09,7.28,3.81,8.85,6.92,1.93
9385192,PINNACLE SPIRIT,2023,6,93.8,78.09,20.12,3.14,2.61,192.32,174.42,632.5,573.64,10.26,93.18,127.97,-27.19,0,0,5038953.33,0,0,,434.4,398.07,2792,217,15,5,12.87,48.04,198.1,175.57,1548,129.7,7.5,4,11.94,36.69,34.43,23.88,13.61,10.02,3.59,12.81,10.32,2.49
9385192,PINNACLE SPIRIT,2023,7,104.52,92.07,13.52,3.36,2.96,186.49,171.65,513.2,472.37,8.64,193.57,127.59,51.71,0,0,3619021.44,0,0,,0,0,0,0,,4,,,513.2,472.37,3638,261.2,8,5,13.93,47.17,,37.81,,,,9.36,5.42,3.94
9385192,PINNACLE SPIRIT,2023,8,101.06,92.92,8.76,3.26,3,,,0,0,,77.47,72.85,6.34,0,0,1189181.86,0,0,,0,0,0,0,,4,,,0,0,0,0,,4,,,,,,,,,,
9385192,PINNACLE SPIRIT,2023,9,103.3,98.06,5.34,3.41,3.24,,,0,0,,0.5,0.24,108.33,0,0,8122157.37,0,0,,0,0,0,0,,4,,,0,0,0,0,,4,,,,,,,,,,
9385192,PINNACLE SPIRIT,2023,10,79.85,67.84,17.7,2.62,2.23,,,0,0,,205.75,115.73,77.78,0,0,268676.5,0,0,,0,0,0,0,,4,,,0,0,0,0,,4,,,,,,,,,,
9385192,PINNACLE SPIRIT,2023,11,102.75,91.06,12.84,3.41,3.02,200.26,178.03,645.3,573.66,12.49,52.1,23.87,118.27,463,405,3354080.5,0.13,0.11,18.18,138.1,126.54,960,72,15.4,3,13.33,46.03,507.2,447.12,4834,372.8,7.5,4,12.97,32.66,40.17,29.88,5.86,1.67,4.19,2.78,-0.33,3.11
9385192,PINNACLE SPIRIT,2023,12,114.05,100.89,13.04,3.61,3.19,190.64,175.52,578.5,532.61,8.62,113.85,112.84,0.9,0,0,3876837.68,0,0,,259.8,238.78,1893,144.3,15.4,4,13.12,43.21,318.7,293.83,3553,315.8,7.87,4,11.25,24.22,39.79,20.66,3.42,-0.73,4.15,3.56,1.41,2.15
9385192,PINNACLE SPIRIT,2024,1,2,2.41,-17.01,3.83,4.62,195.32,187.12,11.2,10.73,4.38,0.6,0.55,9.09,0,0,57341.6,0,0,,0,0,0,0,,4,,,11.2,10.73,123,12.52,8,4,9.82,21.54,,14.23,,,,7.31,5.83,1.48
9390628,DILONG SPIRIT,2023,1,118.4,119.31,-0.76,3.84,3.87,180.45,171.15,55.7,52.83,5.43,64.9,60.44,7.38,0,0,2409833.45,0,0,,0,0,0,0,,4,,,55.7,52.83,641,66,7.75,5,9.71,20.25,,13.98,,,,6.27,6.12,0.15
9390628,DILONG SPIRIT,2023,2,96.8,107.14,-9.65,3.46,3.83,165.17,165.17,115.6,115.6,0,94.4,131.08,-27.98,0,0,3972356.55,0,0,,53.3,53.3,429,35,15.8,5,12.26,36.55,62.3,62.3,558,41.5,7.8,5,13.45,36.01,34.95,34.76,1.6,1.22,0.38,1.25,0.87,0.38
9390628,DILONG SPIRIT,2023,3,118.4,118.8,-0.34,3.79,3.81,178.58,178.58,132.9,132.9,0,69.8,36.73,90.04,0,0,4600291.18,0,0,,112.8,112.8,775,61.5,14.88,4,12.6,44.02,20.1,20.1,253,21,7.8,3,12.05,22.84,32.57,24.14,11.45,11.09,0.36,-1.3,-1.56,0.26
9390628,DILONG SPIRIT,2023,4,119.3,121.71,-1.98,3.94,4.02,158.64,158.64,81.2,81.2,0,111,92.52,19.97,0,0,3068391.99,0,0,,0,0,0,0,,4,,,81.2,81.2,738,57.5,7.7,4,12.83,33.83,,29.77,,,,4.06,3.74,0.32
9390628,DILONG SPIRIT,2023,5,116.1,112.87,2.86,3.77,3.66,175.43,175.43,69,69,0,12.3,10.08,22.02,0,0,6618625.2,0,0,,69,69,499,38.6,16.94,4,12.93,42.9,0,0,0,0,,4,,,41.99,,0.91,0.45,0.46,,,
9390628,DILONG SPIRIT,2023,6,121.3,115.12,5.37,4.05,3.85,180.42,180.42,45.6,45.6,0,108.7,115.27,-5.7,0,0,2491264.36,0,0,,29.1,29.1,239,19,10.4,4,12.58,36.76,16.5,16.5,219,21.5,8.7,3,10.19,18.33,30.73,15.66,6.03,5.7,0.33,2.67,2.5,0.17
